artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Anthony B,2tGbEhpDm0ojWUHnUlZ7Zn,Outa road,0.156,0.735,197982,0.5920000000000001,0.0,0,0.0679,-7.136,1,0.314,91.919,4,0.962,4
Chad Kroeger,3j2dHgF6iON6lUAyLMtcqE,Too Bad,0.995,0.696,152500,0.0896,0.945,7,0.128,-27.952,0,0.0512,95.996,4,0.389,9
Johann Sebastian Bach,1hUuS14BEIqz3MVXAoOoZE,"Suite No. 6 in D Major, BWV 1012: V. Gavotte & VI. Gavotte",0.987,0.38,291027,0.101,0.195,1,0.179,-16.035999999999998,1,0.0494,110.558,3,0.411,16
Mirabellenmolch,41FCchs4lwuWstmjU1Ivi5,Hawaiin Morning,0.929,0.448,85160,0.196,0.889,0,0.104,-20.218,1,0.0719,157.058,4,0.7070000000000001,4
Freshlyground,4YoZNGxWNvudVeWABZWiBm,BLCK GRLS,0.213,0.62,199705,0.7709999999999999,0.0,11,0.133,-5.843,1,0.0311,99.999,4,0.917,19
thmpsn,6mMAYJX3hafIJoDXGmgTmh,Shape of Water - Instrumental,0.0657,0.605,292414,0.815,0.000481,5,0.12,-4.025,0,0.0655,174.082,4,0.07,19
Ciaran Delany,6CrDH1mMoA9muB0Y0uGlif,Labyrinths,0.981,0.67,184659,0.16899999999999998,0.932,8,0.109,-16.08,0,0.0408,110.013,4,0.14300000000000002,36
Los Invasores De Nuevo León,6low3OmEhgQLB5jQh5xjwJ,No Podría Olvidarte,0.29100000000000004,0.787,174605,0.561,0.0,11,0.0846,-6.0520000000000005,0,0.116,159.105,4,0.917,32
Jack-o-Lantern,0VxV5aCy0XuWFKervEIMzc,Dark Sky,0.328,0.609,292049,0.339,0.165,1,0.0975,-11.101,1,0.326,119.995,4,0.0757,0
Jared Grimble,2iqVEMPpwx5OJVZ3OYJ4mw,Good Morning,0.051,0.947,235000,0.468,0.0366,6,0.0964,-12.478,0,0.068,116.059,4,0.723,7
Stevie Wolf,0cnZK04zksvknHM81ZpVHq,Low,0.302,0.5820000000000001,199002,0.285,0.0,11,0.155,-8.415,1,0.0588,145.648,4,0.135,19
Amen Dunes,25yyT80XteXmqWONSVuhJm,Calling Paul the Suffering,0.246,0.73,181653,0.713,0.0318,7,0.0741,-8.414,1,0.0403,84.01,4,0.926,40
The Avalanches,4n0KZm2iHRHmizkRiN8qg8,Because I’m Me - Moor Mother Remix,0.0593,0.281,177173,0.7090000000000001,0.00159,11,0.308,-7.989,1,0.1,123.525,3,0.0941,15
Sophie Meiers,2BJA6pFvwp9e87Z4Z61XsT,Notifications,0.596,0.853,116000,0.29,0.0305,1,0.105,-13.852,1,0.0584,119.989,4,0.248,40
BONES,0MM7Rh6thUPFeLEuXpX78k,Troubleshooting,6.19e-05,0.6759999999999999,108333,0.481,2.46e-06,10,0.109,-7.228,0,0.0373,106.036,4,0.184,33
Willie The Kid,1vEkkI1e4jBAXtKB9SSqER,Prefer the Dough,0.0237,0.515,224610,0.931,0.0,11,0.452,-3.609,0,0.166,77.938,4,0.468,14
King Kofi,1bcDpy9JjJHtpb1zDah2bF,Young Alphas,0.117,0.8,275425,0.53,2.35e-06,9,0.226,-5.5310000000000015,0,0.0675,127.938,4,0.403,1
Siddhartha Khosla,1X7GJx9blF9vn6Ulaqg7OL,Us (The Game Plan),0.422,0.378,185018,0.184,0.911,11,0.102,-18.176,1,0.0471,167.74900000000005,4,0.0906,31
Johann Sebastian Bach,0XLDBYYvccH85v4eh9POxW,"Invention No. 15 in B Minor, BWV 786",0.992,0.373,71707,0.232,0.921,11,0.119,-25.636,0,0.0734,170.35299999999995,4,0.517,30
Franz Joseph Haydn,05k9vANWVDrPlMLR2EYPhP,"Symphony No. 97 in C Major, Hob. I:97: IV. Finale. Presto assai",0.932,0.57,301893,0.4270000000000001,0.867,0,0.234,-14.262,1,0.0555,85.63,4,0.3720000000000001,4
Mr. Airplane Man,1baOuHL35wSnopE0QWnWCp,Good Time,0.0579,0.6609999999999999,135000,0.804,0.621,10,0.0495,-5.919,1,0.0356,120.455,4,0.967,13
Whitney Avalon,4svY9s0qmW38ogIUtMhM6h,Poor Unfortunate Souls (Harry Potter Style),0.75,0.34,161916,0.601,0.0,2,0.0594,-9.287,0,0.0756,76.04,3,0.535,30
Grace Gracie,5JDeAVolzblIZwPaAInZFo,Devil (Feat. Bre),0.172,0.268,203586,0.8390000000000001,0.0,9,0.38,-3.208,0,0.106,83.109,5,0.11,14
Vijay Prakash,1MQKBVXeqsOFQMMRUuEiYQ,Just Fly,0.28,0.716,239586,0.593,5.33e-05,0,0.392,-7.252000000000002,1,0.027000000000000003,127.962,4,0.665,2
Lefa,3YlpDOosrq6yUJCEKeb6Pq,Balle au pied,0.3,0.8059999999999999,258253,0.64,0.0,0,0.26,-9.068,0,0.29100000000000004,139.946,4,0.5770000000000001,41
Ghost-Note,7j3IHus7STHoFutOrP4ZEh,Bawllz,0.0154,0.653,339413,0.485,0.264,8,0.18,-5.7860000000000005,1,0.118,144.21,4,0.353,25
Nate Kenyon,2yHuls0OyRkfCaK7x6VrGB,Met Her in the South,0.00665,0.64,211710,0.7559999999999999,2.68e-06,11,0.254,-6.079,1,0.0418,154.063,4,0.5329999999999999,38
Dr. Dog,0jJpD0ah0d1ttkIOQcUbdu,Heart Killer,0.0115,0.43,213165,0.6809999999999999,0.000327,9,0.171,-6.4529999999999985,1,0.0442,127.665,4,0.467,24
Litche,5Sx5UWBZhLoaSWXgJMy7LZ,Voyage,0.416,0.612,212709,0.419,0.269,0,0.115,-10.985,1,0.0689,110.026,4,0.136,34
Sarah Shook & the Disarmers,1Hd9P9zSZsTweS9xkEvEgu,Over You,0.0269,0.485,191893,0.828,0.0,9,0.0902,-6.939,1,0.0306,158.009,4,0.897,31
Swank Davis,3S9oi65LWiJh76D9LYsa48,Regrets,0.234,0.7290000000000001,197600,0.517,0.000753,5,0.0839,-10.034,0,0.152,130.249,4,0.16899999999999998,0
Sauti Sol,6vBPy7AUxslPZw8AMVX5QZ,Afrikan Star,0.362,0.754,194526,0.634,0.0,7,0.267,-9.65,1,0.415,94.952,4,0.866,0
Pac Div,5Wn4rYs6sgA9QWFDUrRWnN,Apt 10,0.17,0.63,207999,0.632,0.0,0,0.212,-8.854,0,0.174,123.904,4,0.7140000000000001,20
Mujo,5HbKzgKMlRzTBRCjSUIfKR,Tender Clouds,0.316,0.695,108812,0.0436,0.863,0,0.0918,-14.758,1,0.126,78.53399999999998,4,0.685,18
Karuna Satori ASMR,7fa12AeziG3ON4z80k5eFo,Sleep Clinic Part 2,0.117,0.609,232571,0.251,3.27e-05,10,0.239,-33.449,0,0.343,84.794,3,0.0832,31
Chappell Roan,1EQ3XbVzPZfKxMjvx9UjBH,School Nights,0.895,0.595,249237,0.277,0.000269,6,0.114,-10.393,0,0.043,129.91299999999998,4,0.266,38
ToteKing,0H1jdkvEtzYWW5Ryhiwozq,Libera el Estrés,0.245,0.674,199825,0.7559999999999999,0.0,6,0.14,-5.197,0,0.308,108.855,4,0.588,41
Frédéric Chopin,3bKPRK5YkoaorGN30Obizl,"Piano Sonata No. 2 in B-Flat Minor, Op. 35: II. Scherzo",0.987,0.431,318840,0.298,0.865,6,0.261,-13.315,1,0.0351,108.496,4,0.124,9
Sham Gabr,183Ca86bTBN0Afy9Vpnk6R,Pendulum,0.006,0.735,198535,0.6759999999999999,0.093,2,0.247,-8.94,1,0.12,111.969,4,0.306,0
